quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
-2,,,,,,Dandy Products Coco Mat,Stable > Stable Supplies > Misc,DANDY-COCO-MAT-4X6,Size: 4 Feet x 6 Feet,,,,,Drop Ship,198.00,198.00,198.00,287.00,0,0,0.011764706,,
-3,,,,,,Dandy Products Liverpool,Stable > Stable Supplies > Misc,DANDY-LIVERPOOL-10X4X2,Size: 10 Feet x 4 Feet x 2 Inches,,,,,Drop Ship,200.00,200.00,200.00,400.00,0,0,,,
-11,,,,,,Dandy Products Foam Rail,Stable > Stable Supplies > Misc,DANDY-FOAM-RAIL-4X9-SQUARE,Size: 4 Inches (D) x 9 Feet,Color: White,Style: Square Rail,,,Drop Ship,65.00,65.00,65.00,90.00,0,0,0.084337346,,
-1,,,688499600583,,,Basics by Tough-1 1200D Turnout Sheet,Horse Wear > Blankets & Sheets > Turnout Blankets & Sheets > Lightweight,34-912-2-81,Color: Black,Size: 81,,,,Drop Ship,45.98,45.98,45.98,78.95,0,0,,,
-2,,,840539000887,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-MI,Size: Mini,,,,,Drop Ship,10.03,10.03,10.03,16.99,0,0,,,
-2,,,840539000948,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-C,Size: Cob,,,,,Drop Ship,10.03,10.03,10.03,16.99,0,0,0.01369863,,
-3,,,840539001105,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-F,Size: Full,,,,,Drop Ship,10.03,10.03,10.03,16.99,0,0,,,
-2,,,840539047707,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-D,Size: Draft,,,,,Drop Ship,10.03,10.03,10.03,16.99,0,0,,,
-1,,,7340041137017,,,Back On Track Sienna Mesh Cooler,"Horse Wear > Blankets & Sheets > Coolers, Fleece & Covers",21880065,Color: Black,Size: 87,,,,Drop Ship,86.00,86.00,86.00,172.00,0,0,,,
-1,,,7340041166390,,,Back On Track Airflow Exercise Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20987004,Color: White,Size: Extra Large,,,,Drop Ship,52.50,52.50,52.50,105.00,0,0,,,
-5,,,,,,Jack's Cordura Stall Guard,Stable > Stable Supplies > Stall Supplies,4486NV/WH,Body Color: Navy,Trim Color: White,,,,Drop Ship,29.35,29.35,29.35,49.99,0,0,,,
-1,,,840539032192,,,Cross Ties with Bolt Snap,Stable > Stable Supplies > Cross Ties & Trailer Ties,20177-RE,Color: Red,,,,,Drop Ship,20.15,20.15,20.15,29.99,0,0,,,
-1,,,840539032178,,,Cross Ties with Bolt Snap,Stable > Stable Supplies > Cross Ties & Trailer Ties,20177-NV,Color: Navy,,,,,Drop Ship,20.15,20.15,20.15,29.99,0,0,,,
-2,,,,,,EnviroEquine Structure+,Horse Care > Supplements > Joint Health,EESTRU1UNIT,Size: 1 Gallon,,,,,Drop Ship,192.37,192.37,192.37,295.95,0,0,0.015625,,
-1,,,840539005790,,,De Prix Soft Gel Pad,Tack & Equipment > English Saddle Pads > Half Pads,1274,Title: Default Title,,,,,Drop Ship,29.17,29.17,29.17,40.99,0,0,,,
-1,,,840539018202,,,GEL-EZE Wither Pads,Tack & Equipment > English Saddle Pads > Half Pads,1388,Title: Default Title,,,,,Drop Ship,49.00,49.00,49.00,74.95,0,0,,,
-11,,,851559000429,,,IChON Sterile S-GAG Vials 100mg/mL,Pharmacy > Joint & Ligament,80332-658,Size: 1 vial,,,,,Drop Ship,21.92,21.92,21.92,27.40,0,0,,,
-60,,,,,,Equioxx Tablets,Pharmacy > Anti-Inflammatory & Pain,80216-795-685,Size: 57 mg (sold per tablet),,,,,Drop Ship,1.59,1.59,1.59,1.73,0,0,,,
-1,,,7340041164808,,,Back on Track Airflow Collection Brush Boot,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20199004,Color: Black,"Size: XLarge (18"")",,,,Drop Ship,42.00,42.00,42.00,84.00,0,0,,,
-4,,,,,,"1"" Horse Havana Track Halter with Snap",Tack & Equipment > Halters & Leads > Halters > Leather Halters,110SCH,Size: Cob,,,,,Drop Ship,57.95,57.95,57.95,127.49,0,0,,,
-1,,,,,,EquiLume Stable Light,Horse Care > Equine Therapy > Light Therapy,EQUILUMESTABLE,Title: Default Title,,,,,Drop Ship,637.50,637.50,637.50,750.00,0,0,,,
-1,,,,,,EquiLume Curragh Replacement Light Cup,Horse Care > Equine Therapy > Light Therapy,CURRAGHREPLACEMENT,Title: Default Title,,,,,Drop Ship,220.00,220.00,220.00,275.00,0,0,,,
-2,,,,,,RevitaVet Poll Cap,Horse Care > Equine Therapy > Light Therapy,RVPOLLCAP,Title: Default Title,,,,,Drop Ship,300.00,300.00,300.00,429.00,0,0,0.01369863,,
-1,,,850034913650,,,ProSeries Derby Pelham Bit,Tack & Equipment > Bits > English Bits,4787-5-3/4,Size: 5 3/4 Inches,,,,,Drop Ship,75.00,75.00,75.00,109.99,0,0,,,
-2,,,846774003171,,,Nunn Finer Betris Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BETRISH,Size: Horse,,,,,Drop Ship,199.00,199.00,199.00,445.00,0,0,,,
-2,,,846774025296,,,Nunn Finer Arianna Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",ARIANNAH,Size: Horse,,,,,Drop Ship,199.00,199.00,199.00,450.00,0,0,,,
-4,,,846774003188,,,Nunn Finer Betris Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BETRISOS,Size: Oversize,,,,,Drop Ship,199.00,199.00,199.00,445.00,0,0,,,
-1,,,846774020529,,,Nunn Finer Florence Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",FLORENCEH,Size: Horse,,,,,Drop Ship,199.00,199.00,199.00,445.00,0,0,,,
-1,,,,,,Bluebonnet Lifeline+ Equine,Horse Care > Supplements > Vitamins & Minerals,177578-ED,Size: 44 lb Refill (100-200 days),,,,,Drop Ship,284.00,284.00,284.00,392.00,0,0,,,
-1,,,,,,Bluebonnet Rewind Joint,Horse Care > Supplements > Joint Health,177595-ED,Size: 44 lbs Refill (110 Days),,,,,Drop Ship,184.50,184.50,184.50,270.00,0,0,,,
-1,,,,,,Bluebonnet Amino Edge,Horse Care > Supplements > Weight Gain & Muscle,177333-AD,Size: 40 lb (40-80 days),,,,,Drop Ship,78.75,78.75,78.75,114.00,0,0,0.012987013,,
-1,,,,,,Bluebonnet Pro Balance,Horse Care > Supplements > Vitamins & Minerals,177560-ED,Size: 44lb Refill (100-200 days),,,,,Drop Ship,183.75,183.75,183.75,268.00,0,0,,,
-1,,,846774001870,,,Nunn Finer Valeria Short Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,Valeria-BR24,Color: Havana,"Size: 24""",,,,Drop Ship,84.00,84.00,84.00,172.00,0,0,0.018518519,,
-1,,,846774021366,,,Nunn Finer Argento Standing Martingale,Tack & Equipment > Martingales & Breastplates,294H,Color: Havana,Size: Horse,,,,Drop Ship,48.00,48.00,48.00,116.00,0,0,,,
-1,,,846774021056,,,Nunn Finer Argento Running Martingale,Tack & Equipment > Martingales & Breastplates,293H,Color: Havana,Size: Horse,,,,Drop Ship,48.00,48.00,48.00,120.00,0,0,,,
